source,source_role,source_sha256,source_record_index,baseline,category,task_id,api_group,api,generation_seed,exit_code,stderr_excerpt,raw_output_sha256,evidence
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,295,B1,runtime_error_other,trdgl_pytorch_120_v1|torch.sparse_bsr_tensor|3407,sparse,torch.sparse_bsr_tensor,3407,1,TypeError: 'torch.layout' object is not callable,97a3dfb1155951b7e4894214927370ad831cde462e257465f9c440819b5c9a3d,nonzero exit without a recognized specific diagnostic or timeout
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,297,B1,broad_exception_swallowing,trdgl_pytorch_120_v1|torch.sparse_bsc_tensor|3407,sparse,torch.sparse_bsc_tensor,3407,0,,92af1684a1bd2b13ccd546146445cb25868036e0d1192940085c68643dc6f7ab,broad handler Exception has no re-raise
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,358,B1,assertion_failure,trdgl_pytorch_120_v1|torch.compile|3407,autograd_transform_compile_and_export,torch.compile,3407,1,AssertionError,97ccce83181ccd8c55510c26291a9f55655a7192a4c44dd15e1d5c4992f1fa0d,subprocess terminated with AssertionError
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,122,B2,oracle_not_executed,trdgl_pytorch_120_v1|torch.tensor|3407,tensor_creation,torch.tensor,3407,0,,2d8ce80c480044479398b3cc932d75db170487bd5ad8206e1b9cab1b159b3cf8,oracle appears only on statically unreachable or uninvoked function path(s): test_torch_tensor_api
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,122,B2,target_not_executed,trdgl_pytorch_120_v1|torch.tensor|3407,tensor_creation,torch.tensor,3407,0,,2d8ce80c480044479398b3cc932d75db170487bd5ad8206e1b9cab1b159b3cf8,target appears only on statically unreachable or uninvoked function path(s): test_torch_tensor_api
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,122,B2,truncated_generation,trdgl_pytorch_120_v1|torch.tensor|3407,tensor_creation,torch.tensor,3407,0,,2d8ce80c480044479398b3cc932d75db170487bd5ad8206e1b9cab1b159b3cf8,finish_reason=length
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,128,B2,syntax_error,trdgl_pytorch_120_v1|torch.arange|3407,tensor_creation,torch.arange,3407,,,a462020cb20af61b119aa88d703da13f0fe4f02f93126c3e916aa033690d8089,'[' was never closed (line 34)
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,133,B2,fake_assertion,trdgl_pytorch_120_v1|torch.zeros|3407,tensor_creation,torch.zeros,3407,0,,524b73eeea63412d6c776759a887eb94824fbb31a365b7d0592130672caa8954,self-comparison assert
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,146,B2,assertion_failure,trdgl_pytorch_120_v1|torch.reshape|3407,shape_and_composition,torch.reshape,3407,1,AssertionError,b6b4caf8c096f832662c830a5e72b99dcb167c02fb43b301c37d8a1143100d03,subprocess terminated with AssertionError
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,212,B2,missing_oracle,trdgl_pytorch_120_v1|torch.linalg.svd|3407,linear_algebra,torch.linalg.svd,3407,0,,6e737aafd3749971c6202a40fddf617e13e2d0cc36afb807b31d3f4cbc537fba,no recognized syntactic oracle
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,361,B3,syntax_error,trdgl_pytorch_120_v1|torch.tensor|3407,tensor_creation,torch.tensor,3407,,,d914034c4b137156965329ba376c83fc19456316af1604fa1df260af1ec1af2a,invalid syntax (line 12)
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,361,B3,truncated_generation,trdgl_pytorch_120_v1|torch.tensor|3407,tensor_creation,torch.tensor,3407,,,d914034c4b137156965329ba376c83fc19456316af1604fa1df260af1ec1af2a,finish_reason=length
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,412,B3,undefined_name_error,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose1d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose1d,3407,1,NameError: name 'kernel' is not defined,187229fa1644667883c401b349f9409f87e9e782bd008fe5fb68ffeaca4e2620,runtime NameError diagnostic
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,412,B3,missing_oracle,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose1d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose1d,3407,1,NameError: name 'kernel' is not defined,187229fa1644667883c401b349f9409f87e9e782bd008fe5fb68ffeaca4e2620,no recognized syntactic oracle
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,412,B3,target_not_executed,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose1d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose1d,3407,1,NameError: name 'kernel' is not defined,187229fa1644667883c401b349f9409f87e9e782bd008fe5fb68ffeaca4e2620,target appears only on statically unreachable or uninvoked function path(s): test_conv_transpose1d
